symbol,name,contractAddress,balance,decimals
iPhone15,iPhone 15,0x00000000366b8a1ec86d6c8e00c861bf2245d946,3000000.0,9
POL,Polygon Token,0x00000000f9fd50c832d79facfe6f4e8ce90a5efb,400000000.0,18
OG,OG,0x000000a1a6cb569ee64e1f8c3529390113e34cf8,37354520541.552663319914900246,18
NOT,Not,0x0027449bf0887ca3e431d263ffdefb244d95b555,115792089237316195423570985008687907853269984665640564039457.584007913129639935,18
SBFLX,ShibFlix,0x0047ebc9e3bb1120b70550b86db4e4e671905e55,3000227489406.230135651842811663,18
SACRIFICE,For The Sake Of Peace,0x009d1a2129890429500f2ad828969d453c19b3af,900000000.0,18
claim at [apepool.org],APE/ETH,0x009e9d89bfaaf0d539450e7b8908703011704993,3289.0,6
PEPE,Pepe Tokens,0x012662dd2c6933211a8f493c61a2ca0024982a10,3878249617728.499138315128814117,18
SEGA,SEGA Metaverse,0x013bb7458f51b2e4c06eed814b8ef353dac947e9,767387143.779415173800484933,18
SHEESH,SHEESH,0x014550a34149231b8432b8dd210fadd81b1d2668,1234567890.0,18
Guerlain,Guerlain Metaverse,0x01da0e7d29992a7fd2aabac3c63893d04662769a,100000000000000.0,18
FLOKIFIRE,🎇Floki Fireworks🎆,0x01ddc27a46027cb45e39e47cf9204e2e6b0c92cd,24210526315789.4732,18
FUMO2.0,Alien Milady Fumo 2.0,0x0215ab6914bfec0e5d6e4de38ebb1f6faef14df0,0.001513,18
UKR,UkraineDAO,0x0243d6dc943eaed5afac06dc4a51f56ef0393141,56731.482194204133333825,18
EPI,THE Epiphany,0x027198c24cf9b973c9713c8b8be849a0f02471b4,10000000.0,18
DANK,DANK,0x029c34a537e8d53e50ebd5f4d64d193134c1c148,1000000.0,9
Nestle,Nestle Metaverse,0x02a16e01007f621438b4e27ebda81d69c20d5c21,767387143.779415173800484933,18
https://trip.io,Trip.io Web,0x03071857d9c35c8d0f5127dbb33fa37625ef95a1,666.0,18
aWETH,Aave interest bearing WETH,0x030ba81f1c18d280636f32af80b9aad02cf0854e,0.051210629181267854,18
Patek Philippe,Patek Philippe Metaverse,0x035d818d51782671c06e56eef0476e77cfd3a1f7,767387143.779415173800484933,18
PROFIT,PROFIT,0x0364cbfbb2589d4abc06f71ed212eabe7437bcd9,11429080868.352002887707729481,18
Motorola,Motorola Metaverse,0x03940c66c72d7b28a7d1a9abd753be951321f3f1,767387143.779415173800484933,18
RAI,Rai Reflex Index,0x03ab458634910aad20ef5f1c8ee96f1d6ac54919,3.36690769515874437,18
HODL,HODL,0x03be4a5355f4bd4572d7716f946e2dff1c42d8b9,100000.0,18
Twitch,Twitch Metaverse,0x03db78e0e09a916e2d8caca72fe6f781b4d6ce64,767387143.779415173800484933,18
JPOW,JPOW,0x040c9b5822454b838c2a763a19462d8d2a55e23e,190000000000.0,18
ETH2.0,ETHEREUM 2.0,0x0412276293b5bbbc2fd19ded0e481926e5249eef,9900000.0,9
❤️,LikeButton.eth,0x0469dfb82a816c5f0a566625cec09216a721e90e,42170.0,18
CHECKS,CHECKS,0x049e9f5369358786a1ce6483d668d062cfe547ec,104494700.0,18
RUBB,Rubber Ducky,0x04b79d4505d11612d507ee59b7d99639906f8d03,50000000.0,18
PDAO,PlayersDAO,0x05293683c73621f1312e4b0da63d1b2a018cb5bb,14098588868.667078182148876146,18
SHIA,Bank Of SHIA,0x05ea4b614268ad792efe836deeb9a9aa8633d246,496101676.631660194158756992,18
Niantic,Niantic Metaverse,0x05f04fc65167d65b6cdb93c142c174bd64323c2f,100000000000000.0,18
HONG,HONGKONG INU,0x064153b77108a93dd0ad1d3dd60057868f9d1b93,1000000000.0,18
XEN,XEN Crypto,0x06450dee7fd2fb8e39061434babcfc05599a6fb8,1001337.0,18
DOCO,Dogecollie,0x0654d4ca220d63a1ec3b0e77a0e5f5ecfb57dcdf,100000000.0,18
🤖🤖🤖,Robots,0x06942a18ecac7607bf9278f02ea68eb90861b8de,500000000000000.0,18
GAPE,Teh Great Ape,0x06a43b610dfb4c1f92cfe1c275bc068c137df6b6,12500000000.0,18
SCOOBI,Scoobi Doge,0x06a87f6afec4a739c367bef69eefe383d27106bd,450420420.69,18
IDGAF,Supercalifragilisticexpialidocious,0x06ca11e6e179268110fc9b999bdf0758cf9ec464,10000000.0,9
WizardSHIB,Shibarium Wizard,0x06decdcf842ac7e259e95906a02ebd16144d4306,10000000000.0,8
Starbucks,Starbucks Metaverse,0x06f699f0135dc1beb4ac916d44240c5e06a334ba,767387143.779415173800484933,18
WOMBAT,WOMBAT,0x06f7e3cecd6e66ab2fcc527e8a2e908c96e1a31c,0.0333,18
https://asdai.xyz,asdai.xyz,0x070c0147884d7cf984afbc2eb6f3428a39b5e229,12732.107084720493550164,18
SOP,SoPay,0x076641af1b8f06b7f8c92587156143c109002cbe,16.0,18
Marriott,Marriott Metaverse,0x076899b4ae4b66ceba5172a21083cdaf9f628c39,767387143.779415173800484933,18
VBI,Vitalik Buterin Inu,0x07d59e6042879f43bfa5c0e567a0f4e75303f534,100000000.0,18
Pokemon,Pokemon Metaverse,0x07d5e4db69cb04032ed7c92109fcb5a3e8dc47fa,767387143.779415173800484933,18
HOUR,Abolish Daylight Savings,0x07f5007031c88e5ccc43bd4532e409cb32a1dfcc,11994.0,18
Disney,Disney Metaverse,0x080d9357f4d510db39caf5b8ae0b1a8e17358c7c,767387143.779415173800484933,18
Richard Mille,Richard Mille Metaverse,0x0869a1e2d31d1e3753b6d085aa48df529444e62b,767387143.779415173800484933,18
ZRO,PROTOCOL ZERO,0x0884f38e98f60e017066288bd9cf449a6e932be2,200000000.0,18
OSHI,Oshi,0x08c8030995ce862d854d97666ac44c4015a592fe,50000.0,18
MATH,MATH,0x08d967bb0134f2d07f7cfb6e246680c53927dd30,1.0,18
